topGenre,isHighEnergy,isDanceable,isLoud,isLively,isHighValence,isAcoustic,isSpeechy,isPopular
modern rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
carnaval limburg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch cabaret,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
dutch metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
electro,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
adult standards,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative dance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
acoustic pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
classic rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
brill building pop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
g funk,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
dutch pop,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
happy hardcore,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dutch pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
belgian rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch indie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
belgian pop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch pop,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
classic schlager,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
permanent wave,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dance rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dance pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
contemporary country,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
barbadian pop,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
alternative rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dance pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gabba,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chamber pop,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
brill building pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
